BUYER_STATE,year,population
AL,2009,4633360
AK,2009,683142
AZ,2009,6324865
AR,2009,2838143
CA,2009,36308527
CO,2009,4843211
CT,2009,3494487
DE,2009,863832
DC,2009,588433
FL,2009,18222420
GA,2009,9497667
HI,2009,1280241
ID,2009,1492573
IL,2009,12785043
IN,2009,6342469
IA,2009,2978880
KS,2009,2777835
KY,2009,4252000
LA,2009,4411546
ME,2009,1316380
MD,2009,5637418
MA,2009,6511176
MI,2009,10039208
MN,2009,5188581
MS,2009,2922240
MO,2009,5904382
MT,2009,956257
NE,2009,1772124
NV,2009,2545763
NH,2009,1315419
NJ,2009,8650548
NM,2009,1964860
NY,2009,19423896
NC,2009,9045705
ND,2009,639725
OH,2009,11511858
OK,2009,3610073
OR,2009,3727407
PA,2009,12516596
RI,2009,1057381
SC,2009,4416867
SD,2009,796513
TN,2009,6158953
TX,2009,23819042
UT,2009,2651816
VT,2009,620414
VA,2009,7721730
WA,2009,6465755
WV,2009,1811403
WI,2009,5599420
WY,2009,523949
AL,2010,4712651
AK,2010,691189
AZ,2010,6246816
AR,2010,2872684
CA,2010,36637290
CO,2010,4887061
CT,2010,3545837
DE,2010,881278
DC,2010,584400
FL,2010,18511620
GA,2010,9468815
HI,2010,1333591
ID,2010,1526797
IL,2010,12745359
IN,2010,6417398
IA,2010,3016267
KS,2010,2809329
KY,2010,4285828
LA,2010,4429940
ME,2010,1327665
MD,2010,5696423
MA,2010,6477096
MI,2010,9952687
MN,2010,5241914
MS,2010,2941991
MO,2010,5922314
MT,2010,973739
NE,2010,1799125
NV,2010,2633331
NH,2010,1313939
NJ,2010,8721577
NM,2010,2013122
NY,2010,19229752
NC,2010,9271178
ND,2010,659858
OH,2010,11512431
OK,2010,3675339
OR,2010,3761925
PA,2010,12612705
RI,2010,1056389
SC,2010,4511428
SD,2010,799462
TN,2010,6234968
TX,2010,24311891
UT,2010,2657236
VT,2010,624258
VA,2010,7841754
WA,2010,6561297
WV,2010,1840802
WI,2010,5637947
WY,2010,545579
AL,2011,4747424
AK,2011,700703
AZ,2011,6337373
AR,2011,2895928
CA,2011,36969200
CO,2011,4966061
CT,2011,3558172
DE,2011,890856
DC,2011,593955
FL,2011,18688787
GA,2011,9600612
HI,2011,1346554
ID,2011,1549987
IL,2011,12790182
IN,2011,6454254
IA,2011,3032266
KS,2011,2830985
KY,2011,4316040
LA,2011,4484596
ME,2011,1328543
MD,2011,5736545
MA,2011,6512227
MI,2011,9920621
MN,2011,5278190
MS,2011,2956700
MO,2011,5955802
MT,2011,982854
NE,2011,1813061
NV,2011,2673396
NH,2011,1315911
NJ,2011,8753064
NM,2011,2037136
NY,2011,19302448
NC,2011,9418736
ND,2011,666783
OH,2011,11525536
OK,2011,3714520
OR,2011,3801991
PA,2011,12660739
RI,2011,1053959
SC,2011,4575864
SD,2011,807697
TN,2011,6297991
TX,2011,24774187
UT,2011,2715379
VT,2011,624958
VA,2011,7926192
